handle,title,vendor,product_type,category,sku,variant_index,option1,option2,option3,published,status
embudo-conector-de-bajada-pvc-para-canaleta-100mm,Embudo Conector de Bajada PVC para Canaleta (100mm),BMC URUGUAY,Accesorio,Hardware > Building Materials > Roofing > Gutter Accessories,CONBPVC,1,Default Title,,,True,active
hm-rubber-hm-solv-solvencte-para-caucho-liquido,HM-rubber - HM Solv. (Solvente para caucho líquido),BMC URUGUAY,Accesorio,Hardware > Building Consumables > Protective Coatings & Sealants > Protective Coatings,,1,Lata 1 Litro,,,True,active
hm-rubber-hm-solv-solvencte-para-caucho-liquido,HM-rubber - HM Solv. (Solvente para caucho líquido),BMC URUGUAY,Accesorio,Hardware > Building Consumables > Protective Coatings & Sealants > Protective Coatings,,2,Bidón 10 Litros,,,True,active
hm-sellador-de-grafeno-balde-18-kg-linea-industrial,HM-rubber Sellador de Grafeno - Balde (18 kg) - Línea Industrial,BMC URUGUAY,Accesorio,Hardware > Building Consumables > Protective Coatings & Sealants > Protective Coatings,,1,Default Title,,,True,active
hm-doble-funcion-balde-18-kg-linea-industrial,HM-rubber Caucho líquido Doble Función Premium - Balde (18 kg) - Línea Industrial,BMC URUGUAY,Accesorio,Hardware > Building Consumables > Protective Coatings & Sealants > Protective Coatings,,1,Default Title,,,True,active
hm-rubber-malla-estructurante,HM-rubber - Malla Estructurante (10 cm x 50 m),BMC URUGUAY,Accesorio,Hardware > Building Consumables > Protective Coatings & Sealants > Protective Coatings,,1,Default Title,,,True,active
hm-rubber-impertech-3-en-1-balde-14-kg,HM-rubber - Impertech 3 en 1 - Balde (14 kg.),BMC URUGUAY,Accesorio,Hardware > Building Consumables > Protective Coatings & Sealants > Protective Coatings,,1,blanco,,,True,active
hm-rubber-sellador-flex-pro-lata-900-ml,HM-rubber Caucho Líquido Base - Balde (18 kg) - Línea Industrial,BMC URUGUAY,Accesorio,Hardware > Building Consumables > Protective Coatings & Sealants > Protective Coatings,,1,Default Title,,,True,active
hm-rubber-caucho-liquido-7-en-1-lata-3-6-kg,"HM-rubber - Caucho Líquido 7 en 1 - Lata (3,6 kg)",BMC URUGUAY,Accesorio,Hardware > Building Consumables > Protective Coatings & Sealants > Protective Coatings,,1,negro,,,True,active
hm-rubber-caucho-liquido-7-en-1-lata-3-6-kg,"HM-rubber - Caucho Líquido 7 en 1 - Lata (3,6 kg)",BMC URUGUAY,Accesorio,Hardware > Building Consumables > Protective Coatings & Sealants > Protective Coatings,,2,blanco,,,True,active
